p,kappa,estimator_variant,r_f_mean,r_f_std,mae_b_mean,mae_b_std,fallback_weight_mean
0.35,2.5,oracle_aqf,1.2999943154696825,0.08900077015027043,0.07083493150210929,0.0500700260439225,
0.35,3.0,estimated_aqf,1.2376049131098157,0.05717626440578971,0.06976644740823748,0.0518459803749372,0.994615812348836
0.35,3.0,fixed_q_0.1,1.9581362304689158,0.14176762067264395,0.979276420138792,0.14104567114387828,
0.35,3.0,fixed_q_0.2,1.5559620032712684,0.1051042958085556,0.4664728526799614,0.11452200439397679,
0.35,3.0,fixed_q_0.3,1.276873549598385,0.0785125233238039,0.09333981876792441,0.06185992981222284,
0.35,3.0,oracle_aqf,1.216767606331474,0.07245220693776379,0.07792714467053523,0.059311736017179366,
0.35,3.5,estimated_aqf,1.1995279053148244,0.0484743186044979,0.06131302895888853,0.0364425735959325,1.0
0.35,3.5,fixed_q_0.1,1.8838360535736498,0.09837242032103626,1.032516078733162,0.08185802975054526,
0.35,3.5,fixed_q_0.2,1.519550629379037,0.0775745699062453,0.5104307135867214,0.05798947345029471,
0.35,3.5,fixed_q_0.3,1.2630180700255127,0.06878707921429342,0.09782893548948621,0.06697540587004171,
0.35,3.5,oracle_aqf,1.208834513540276,0.06648291566623175,0.06246648453238093,0.03852222636027556,
0.35,4.0,estimated_aqf,1.1880480660495614,0.03412189845366185,0.07378825176242695,0.055335461271847804,1.0
0.35,4.0,fixed_q_0.1,1.7568755420631033,0.09955548957894471,1.0069308305801,0.09839116978789679,
0.35,4.0,fixed_q_0.2,1.4483218423147144,0.05502945445351558,0.49928806202146064,0.08169812012995707,
0.35,4.0,fixed_q_0.3,1.227287395213185,0.047888563859687996,0.09695042815757482,0.07382565299086875,
0.35,4.0,oracle_aqf,1.1834790527214047,0.045782799274188955,0.08068381112600402,0.05549278370142257,
0.35,4.5,estimated_aqf,1.1541995937080691,0.04564134703969212,0.07004973293241293,0.041220331091004335,1.0
0.35,4.5,fixed_q_0.1,1.6670646303664836,0.08079288803326179,1.0245987259979394,0.0934348369824673,
0.35,4.5,fixed_q_0.2,1.390493817761657,0.04887607775937282,0.5041791861569569,0.07927391535107897,
0.35,4.5,fixed_q_0.3,1.1894893993917561,0.05428835104911599,0.10394163131178127,0.06622603567697408,
0.35,4.5,oracle_aqf,1.1517765701129947,0.05575499986533513,0.08814420227075193,0.0615594723847519,
0.35,5.0,estimated_aqf,1.1542426834628459,0.028789843517383264,0.06246792861290977,0.04498285922884761,1.0
0.35,5.0,fixed_q_0.1,1.6358922993843108,0.06534809224328152,1.0428363527117863,0.08751141077018232,
0.35,5.0,fixed_q_0.2,1.362162269777564,0.052915346336806175,0.4803101121456437,0.07145042429394892,
0.35,5.0,fixed_q_0.3,1.1939328291984297,0.04431444918115173,0.09313220944418701,0.05817360805334725,
0.35,5.0,oracle_aqf,1.1542699697420962,0.0410402620906307,0.05481801437284171,0.04216346802517215,
0.45,0.5,estimated_aqf,3.8615039084808958,0.39476363979123813,0.47962931624351424,0.1278628206823274,0.5803013519686934
0.45,0.5,fixed_q_0.1,6.081180180508468,0.40299439512831314,1.079942693218466,0.11703299097773653,
0.45,0.5,fixed_q_0.2,4.379932292014601,0.3603697916190007,0.6304190852709013,0.11862774977644011,
0.45,0.5,fixed_q_0.3,3.2677602017802534,0.2860751356226452,0.2975949160232063,0.10283539622053205,
0.45,0.5,oracle_aqf,2.350304950098744,0.17845500375336426,0.07056006813226023,0.03843506261315382,
0.45,1.0,estimated_aqf,2.09635431337711,0.23558561119952365,0.32372347634537685,0.10429176455040937,0.5960007803719674
0.45,1.0,fixed_q_0.1,3.3142312595404797,0.3129653827325645,0.9737254218797486,0.08858703285907056,
0.45,1.0,fixed_q_0.2,2.3630489782313346,0.20493924278450165,0.47838647033551374,0.08257638009149429,
0.45,1.0,fixed_q_0.3,1.810284073753245,0.14059996993696397,0.1580563793926575,0.07078595443963058,
0.45,1.0,oracle_aqf,1.5589142729836956,0.11612030795574713,0.06704249318003183,0.05352117177084602,
0.45,1.5,estimated_aqf,1.5677383894529249,0.10410801527289591,0.199030557393555,0.08427077794738243,0.656104018780647
0.45,1.5,fixed_q_0.1,2.42103270377394,0.12650744246210915,0.9076251760218881,0.08781874022158165,
0.45,1.5,fixed_q_0.2,1.7839627019983009,0.10775902617470436,0.3861521830509595,0.10522222949516993,
0.45,1.5,fixed_q_0.3,1.3337505763442812,0.0787104990937464,0.0829827674987154,0.05247261456401179,
0.45,1.5,oracle_aqf,1.316051918997294,0.08065072003135787,0.09279738350345976,0.049504209691332325,
0.45,2.0,estimated_aqf,1.3454682682913581,0.08907749608663351,0.11850317277183971,0.11066380252407487,0.7791828260570681
0.45,2.0,fixed_q_0.1,2.0869276843272724,0.10643355428811614,0.9047273313632758,0.11482375032997294,
0.45,2.0,fixed_q_0.2,1.5636823424773358,0.09206836346108839,0.3592876403211559,0.0933791991090941,
0.45,2.0,fixed_q_0.3,1.209025752304697,0.07863375284687411,0.08057508330116595,0.06535199964599009,
0.45,2.0,oracle_aqf,1.2532761276591597,0.07857513815135897,0.0656608621248747,0.05546919389497589,
0.45,2.5,estimated_aqf,1.2468237019035566,0.09657085424216955,0.12681705276093638,0.10490425014492988,0.9087606463269727
0.45,2.5,fixed_q_0.1,1.8392990570011425,0.12689656235713223,0.9017637640689072,0.13969470546982543,
0.45,2.5,fixed_q_0.2,1.4373103140923633,0.10252012222115921,0.37163988745957727,0.12775131643698417,
0.45,2.5,fixed_q_0.3,1.1440031246570264,0.08999055381581733,0.11393821454597167,0.08026429286497698,
0.45,2.5,oracle_aqf,1.2008440989305205,0.09303160060597737,0.11112046962193985,0.06256449388493107,
0.45,3.0,estimated_aqf,1.1701893063112858,0.056616143454206395,0.0724298103346519,0.04765373266740367,0.9996616247296235
0.45,3.0,fixed_q_0.1,1.7266427009033065,0.08232849990193492,0.894953390567412,0.09340981733721668,
0.45,3.0,fixed_q_0.2,1.3725426024732243,0.07269894320500285,0.3385786141205516,0.08963242867345299,
0.45,3.0,fixed_q_0.3,1.1166113138286038,0.0682719550688897,0.12292008256110627,0.088456367204706,
0.45,3.0,oracle_aqf,1.1675960867594894,0.057167563168260445,0.06725772069752445,0.039766949993672834,
0.45,3.5,estimated_aqf,1.1512377148734112,0.04819342951252853,0.07947507973200345,0.06415045467788938,1.0
0.45,3.5,fixed_q_0.1,1.6297420550540043,0.0989853601869937,0.942315947580979,0.12948386590391067,
0.45,3.5,fixed_q_0.2,1.3187795034671788,0.06863274906007481,0.36770223924129236,0.11979034177339794,
0.45,3.5,fixed_q_0.3,1.0936587048746733,0.0564856463077768,0.12371144046980379,0.07932685464854049,
0.45,3.5,oracle_aqf,1.1474350764620733,0.0576961180689401,0.08579847704059969,0.06249337747450101,
0.45,4.0,estimated_aqf,1.1163764874047417,0.042245973664380244,0.07943722690255184,0.05009412663739408,1.0
0.45,4.0,fixed_q_0.1,1.5342947603603139,0.0691623423360627,0.8930067481853292,0.10389304052042096,
0.45,4.0,fixed_q_0.2,1.2733020583828236,0.06836662813736255,0.34649364313973374,0.10488245120884487,
0.45,4.0,fixed_q_0.3,1.0796749257667595,0.05910085266589768,0.14097736360863805,0.08557872779093449,
0.45,4.0,oracle_aqf,1.1227954996628975,0.05869976287252276,0.09609416570039109,0.06931604979588166,
0.45,4.5,estimated_aqf,1.111624820474172,0.03978153107829218,0.07148059973952003,0.05552593592940218,1.0
0.45,4.5,fixed_q_0.1,1.4771554364063157,0.05864204648663868,0.9158173314806313,0.09304097181760983,
0.45,4.5,fixed_q_0.2,1.2408080779640136,0.043665971078805814,0.35791512284697424,0.09155577574262655,
0.45,4.5,fixed_q_0.3,1.069170465595886,0.05388895093015861,0.13578435799287086,0.08959243017103229,
0.45,4.5,oracle_aqf,1.1108875440716115,0.05116803899785609,0.08515940976776645,0.07679509487308013,
0.45,5.0,estimated_aqf,1.0904035333433615,0.03257660562531245,0.056541524838385815,0.03786566740072602,1.0
0.45,5.0,fixed_q_0.1,1.418375256947467,0.0738963872297201,0.8643739633720265,0.1249794925905138,
0.45,5.0,fixed_q_0.2,1.2047435390616819,0.05845159709232335,0.29880243049671007,0.09711197129631077,
0.45,5.0,fixed_q_0.3,1.0521864614730039,0.05200071923609553,0.16477031507586065,0.10577547867232767,
0.45,5.0,oracle_aqf,1.0880172134123434,0.04818404155072701,0.08733766480111234,0.04948850495451649,
0.55,0.5,estimated_aqf,3.2258437420149044,0.2690947774598501,0.471334179321369,0.10716487500554342,0.5733023314529445
