scenario_id,p,kappa,replicate,estimator_variant,q_used,backbone_hat,r_f,mae_b,p_hat,kappa_hat,d_hat,fallback_weight
p07_k01,0.75,1.0,0,fixed_q_0.3,0.3,10.221414972612072,0.9799575714423425,0.221414972612072,,,,
p07_k01,0.75,1.0,0,oracle_aqf,0.2439914404485928,10.060373064870422,1.1337885395818508,0.060373064870422155,,,,
p07_k01,0.75,1.0,0,estimated_aqf,0.25031519792638424,10.076915309049207,1.1174069043975756,0.07691530904920718,0.4720555712511095,1.2511404887580542,0.8846899238178715,0.44234496190893574
p07_k01,0.75,1.0,1,fixed_q_0.1,0.1,9.281475499889252,2.0095575452111363,0.7185245001107479,,,,
p07_k01,0.75,1.0,1,fixed_q_0.2,0.2,9.814735693291464,1.4081058430264808,0.185264306708536,,,,
p07_k01,0.75,1.0,1,fixed_q_0.3,0.3,10.159715962968017,1.0656691461075307,0.1597159629680167,,,,
p07_k01,0.75,1.0,1,oracle_aqf,0.2439914404485928,9.99177304762004,1.2266756690680527,0.008226952379960295,,,,
p07_k01,0.75,1.0,1,estimated_aqf,0.23864712391992632,9.967879293301785,1.2505376705445512,0.03212070669821543,0.5170001180319895,1.7231637961282107,1.218460805337411,0.6092304026687055
p07_k01,0.75,1.0,2,fixed_q_0.1,0.1,9.539215409418452,1.7595794802405476,0.4607845905815484,,,,
p07_k01,0.75,1.0,2,fixed_q_0.2,0.2,9.879130258211713,1.364143526709459,0.12086974178828669,,,,
p07_k01,0.75,1.0,2,fixed_q_0.3,0.3,10.127125246756053,1.110601081317004,0.1271252467560533,,,,
p07_k01,0.75,1.0,2,oracle_aqf,0.2439914404485928,9.99166659021429,1.2448828931982987,0.008333409785709733,,,,
p07_k01,0.75,1.0,2,estimated_aqf,0.276663933333391,10.055225485384193,1.1803401042311081,0.05522548538419336,0.3921423858656696,1.869204404785944,1.321727110047905,0.6608635550239526
p07_k01,0.75,1.0,3,fixed_q_0.1,0.1,9.448770470155702,1.8488183178096278,0.5512295298442975,,,,
p07_k01,0.75,1.0,3,fixed_q_0.2,0.2,9.861092539680588,1.3810170853463788,0.13890746031941248,,,,
p07_k01,0.75,1.0,3,fixed_q_0.3,0.3,10.260428613759283,0.9861200227809075,0.2604286137592826,,,,
p07_k01,0.75,1.0,3,oracle_aqf,0.2439914404485928,10.013211179668254,1.2254866573131395,0.013211179668253692,,,,
p07_k01,0.75,1.0,3,estimated_aqf,0.23545012595648093,9.957143216467971,1.2821212000657063,0.04285678353202904,0.5277733046980502,1.746846684059994,1.2352071359920562,0.6176035679960281
p07_k01,0.75,1.0,4,fixed_q_0.1,0.1,9.386583948822425,1.8010702521031687,0.613416051177575,,,,
p07_k01,0.75,1.0,4,fixed_q_0.2,0.2,9.823377793952627,1.3103895544825088,0.176622206047373,,,,
p07_k01,0.75,1.0,4,fixed_q_0.3,0.3,10.115771632198618,1.0254740497703603,0.11577163219861752,,,,
p07_k01,0.75,1.0,4,oracle_aqf,0.2439914404485928,9.91028367677642,1.2216155896370329,0.08971632322358047,,,,
p07_k01,0.75,1.0,4,estimated_aqf,0.25614806128296064,9.92967758437507,1.2025289533164485,0.07032241562492914,0.4549388942195823,1.749519950056513,1.2370974205061103,0.6185487102530551
p07_k01,0.75,1.0,5,fixed_q_0.1,0.1,9.404216484602157,1.9091655382864858,0.5957835153978426,,,,
p07_k01,0.75,1.0,5,fixed_q_0.2,0.2,9.810662458223964,1.450848184087662,0.18933754177603568,,,,
p07_k01,0.75,1.0,5,fixed_q_0.3,0.3,10.211798749248379,1.0512786286422895,0.21179874924837883,,,,
p07_k01,0.75,1.0,5,oracle_aqf,0.2439914404485928,10.007346062224636,1.2476241183803751,0.007346062224636185,,,,
p07_k01,0.75,1.0,5,estimated_aqf,0.22842489497730417,9.978704543857305,1.2766063726464307,0.021295456142695457,0.5470953763492863,1.8890727613404208,1.335776159698608,0.667888079849304
p07_k01,0.75,1.0,6,fixed_q_0.1,0.1,9.469141996996395,1.785822481826911,0.5308580030036048,,,,
p07_k01,0.75,1.0,6,fixed_q_0.2,0.2,9.939708247948259,1.2614518140841726,0.0602917520517412,,,,
p07_k01,0.75,1.0,6,fixed_q_0.3,0.3,10.225865504460927,0.980957907882,0.225865504460927,,,,
p07_k01,0.75,1.0,6,oracle_aqf,0.2439914404485928,10.075178987973946,1.1246533074533736,0.07517898797394551,,,,
p07_k01,0.75,1.0,6,estimated_aqf,0.27439676534439084,10.176003095101995,1.027179893637063,0.1760030951019953,0.3547331754939448,1.3822370058120377,0.9773891600166811,0.48869458000834054
p07_k01,0.75,1.0,7,fixed_q_0.1,0.1,9.260556620206868,1.9639287577386872,0.7394433797931317,,,,
p07_k01,0.75,1.0,7,fixed_q_0.2,0.2,9.858207881413161,1.2788179949102878,0.1417921185868387,,,,
p07_k01,0.75,1.0,7,fixed_q_0.3,0.3,10.163406003400722,0.9647340564082053,0.16340600340072164,,,,
p07_k01,0.75,1.0,7,oracle_aqf,0.2439914404485928,10.034778518002648,1.0922691846261718,0.034778518002648084,,,,
p07_k01,0.75,1.0,7,estimated_aqf,0.2365752322250172,10.016966643158437,1.1105337749826962,0.016966643158436767,0.5396223088329353,1.3955093278095076,0.9867741089031835,0.49338705445159176
p07_k01,0.75,1.0,8,fixed_q_0.1,0.1,9.489438914987534,1.8655171716620769,0.5105610850124656,,,,
p07_k01,0.75,1.0,8,fixed_q_0.2,0.2,9.887411549269245,1.3903216956186761,0.11258845073075463,,,,
p07_k01,0.75,1.0,8,fixed_q_0.3,0.3,10.194136308276681,1.0714176725588223,0.19413630827668094,,,,
p07_k01,0.75,1.0,8,oracle_aqf,0.2439914404485928,9.995951598670795,1.2730745073496372,0.0040484013292054755,,,,
p07_k01,0.75,1.0,8,estimated_aqf,0.246541867647465,9.99763051418225,1.2713043568677131,0.0023694858177503164,0.49172871585522937,1.3720686391656374,0.9701990390074203,0.48509951950371016
p07_k01,0.75,1.0,9,fixed_q_0.1,0.1,9.336845787143753,1.9051106703115248,0.6631542128562469,,,,
p07_k01,0.75,1.0,9,fixed_q_0.2,0.2,9.85076800926889,1.3195342222841535,0.14923199073110993,,,,
p07_k01,0.75,1.0,9,fixed_q_0.3,0.3,10.190884963538968,0.9788383402850414,0.19088496353896822,,,,
p07_k01,0.75,1.0,9,oracle_aqf,0.2439914404485928,10.022008655354107,1.143101824664709,0.022008655354106565,,,,
p07_k01,0.75,1.0,9,estimated_aqf,0.23992507190554127,9.996163215892034,1.1692057507633165,0.0038367841079658405,0.5273001627080451,1.3225708948373236,0.9351988483394317,0.46759942416971584
p07_k01,0.75,1.0,10,fixed_q_0.1,0.1,9.524247873330996,1.7648006855650216,0.4757521266690041,,,,
p07_k01,0.75,1.0,10,fixed_q_0.2,0.2,9.9091898461755,1.3268570048499995,0.0908101538244992,,,,
